lat,lon,date,website
32.310791,-110.816894,1975-10-??,http://www.bfro.net/GDB/show_report.asp?id=510
32.731823,-98.056871,1975-10-??,http://www.bfro.net/GDB/show_report.asp?id=400
46.221542,-121.248361,1975-10-??,http://www.bfro.net/GDB/show_article.asp?id=139
47.219238,-122.190141,1975-10-13,http://www.bfro.net/GDB/show_report.asp?id=1730
38.811463,-92.600501,1975-10-15,http://www.bfro.net/GDB/show_report.asp?id=3483
39.730253,-76.319271,1975-10Aut,http://www.bfro.net/GDB/show_report.asp?id=3572
33.739040,-96.944890,1975-10Aut,http://www.bfro.net/GDB/show_report.asp?id=6235
32.611198,-95.823104,1975-11-??,http://www.bfro.net/GDB/show_report.asp?id=4994
48.756337,-122.642180,1975-11-??,http://www.bfro.net/GDB/show_article.asp?id=138
37.641821,-97.403508,1975-11-15,http://www.bfro.net/GDB/show_report.asp?id=1326
45.672763,-121.875159,1975-12-06,http://www.bfro.net/GDB/show_report.asp?id=671
39.099494,-76.885788,1976-04Spr,http://www.bfro.net/GDB/show_report.asp?id=1171
40.171659,-74.884878,1976-05-??,http://www.bfro.net/GDB/show_report.asp?id=3122
34.175205,-117.883549,1976-06-??,http://www.bfro.net/GDB/show_report.asp?id=2249
34.244299,-116.978895,1976-06-??,http://www.bfro.net/GDB/show_report.asp?id=9759
45.990384,-118.106745,1976-06-??,http://www.bfro.net/GDB/show_report.asp?id=7124
45.537185,-118.449330,1976-06-??,http://www.bfro.net/GDB/show_report.asp?id=1635
53.306694,-120.063621,1976-06-10,http://www.bfro.net/GDB/show_report.asp?id=2421
40.283016,-83.064892,1976-07-??,http://www.bfro.net/GDB/show_report.asp?id=10861
45.526078,-91.877908,1976-07-10,http://www.bfro.net/GDB/show_report.asp?id=1432
48.783417,-95.021203,1976-07Sum,http://www.bfro.net/GDB/show_report.asp?id=3227
42.502016,-83.712167,1976-07Sum,http://www.bfro.net/GDB/show_report.asp?id=806
40.845966,-79.681802,1976-07Sum,http://www.bfro.net/GDB/show_report.asp?id=3547
37.914290,-84.223931,1976-07Sum,http://www.bfro.net/GDB/show_report.asp?id=2381
39.916871,-122.983167,1976-07Sum,http://www.bfro.net/GDB/show_report.asp?id=2201
44.391460,-118.958637,1976-07Sum,http://www.bfro.net/GDB/show_report.asp?id=1318
40.544572,-81.260797,1976-08-??,http://www.bfro.net/GDB/show_report.asp?id=8494
38.826199,-90.447092,1976-08-01,http://www.bfro.net/GDB/show_report.asp?id=1356
